side,entry,exit,pnl,pnl_pct,entry_transition,nn_count,close_reason
SHORT,2.265,2.265,0.0,0.0,neutral→bear,8,neutral→bull
LONG,2.265,2.2649,-0.00010000000000021103,-0.00441501103753691,neutral→bull,1,bear→neutral
LONG,2.265,2.2649,-0.00010000000000021103,-0.00441501103753691,neutral→bull,5,bear→neutral
LONG,2.265,2.2649,-0.00010000000000021103,-0.00441501103753691,neutral→bull,2,bear→neutral
LONG,2.265,2.2649,-0.00010000000000021103,-0.00441501103753691,neutral→bull,3,bear→neutral
LONG,2.265,2.2649,-0.00010000000000021103,-0.00441501103753691,neutral→bull,3,bear→neutral
LONG,2.265,2.2652,0.00019999999999997797,0.008830022075054214,neutral→bull,8,neutral→bear
SHORT,2.2652,2.2653,-9.999999999976694e-05,-0.004414621225488563,neutral→bear,0,neutral→bull
LONG,2.2653,2.2651,-0.00019999999999997797,-0.008828852690591886,neutral→bull,3,bear→neutral
SHORT,2.265,2.265,0.0,0.0,neutral→bear,7,neutral→bull
LONG,2.265,2.2641,-0.0009000000000001229,-0.03973509933775377,neutral→bull,8,bear→neutral
LONG,2.2642,2.2641,-0.00010000000000021103,-0.004416570974304877,neutral→bull,0,bear→neutral
LONG,2.2642,2.2641,-0.00010000000000021103,-0.004416570974304877,neutral→bull,0,bear→neutral
SHORT,2.264,2.2639,9.999999999976694e-05,0.004416961130731756,neutral→bear,12,bull→neutral
SHORT,2.2638,2.2639,-0.00010000000000021103,-0.004417351356136188,neutral→bear,0,bull→neutral
SHORT,2.2638,2.2639,-0.00010000000000021103,-0.004417351356136188,neutral→bear,6,neutral→bull
LONG,2.2639,2.2635,-0.00039999999999995595,-0.017668624939262155,neutral→bull,8,bear→neutral
SHORT,2.2634,2.2629,0.0004999999999997229,0.022090660068910615,neutral→bear,0,neutral→bull
LONG,2.2629,2.263,9.999999999976694e-05,0.004419108223950106,neutral→bull,6,neutral→bear
SHORT,2.263,2.2631,-0.00010000000000021103,-0.004418912947424261,neutral→bear,1,bull→neutral
LONG,2.2632,2.2634,0.00019999999999997797,0.00883704489218708,neutral→bull,16,bear→neutral
LONG,2.2635,2.2637,0.00019999999999997797,0.008835873647005875,neutral→bull,11,bear→neutral
LONG,2.2638,2.2637,-9.999999999976694e-05,-0.004417351356116572,neutral→bull,6,neutral→bear
