side,entry,exit,pnl,pnl_pips,pnl_pct,entry_transition,nn_count,bull_pairs,bear_pairs,close_reason
LONG,1.3421,1.3416,-0.000500000000000167,-5.0,-0.03725504805902443,neutral→bull,48,2,2,bear→neutral
SHORT,1.3416,1.3416,0.0,0.0,0.0,neutral→bear,25,1,2,bull→neutral
LONG,1.3416,1.3415,-9.999999999998899e-05,-1.0,-0.007453786523553145,neutral→bull,18,6,3,bear→neutral
SHORT,1.3415,1.3415,0.0,0.0,0.0,neutral→bear,17,1,2,bull→neutral
LONG,1.3415,1.3405,-0.0009999999999998899,-10.0,-0.07454342154304061,neutral→bull,14,14,5,bear→neutral
SHORT,1.3405,1.3406,-9.999999999998899e-05,-1.0,-0.007459903021259902,neutral→bear,48,2,1,bull→neutral
LONG,1.3406,1.3408,0.00019999999999997797,2.0,0.014918693122480828,neutral→bull,52,12,3,bear→neutral
SHORT,1.3408,1.3406,0.00019999999999997797,2.0,0.014916467780427952,neutral→bear,42,2,1,bull→neutral
LONG,1.3406,1.3412,0.0005999999999999339,6.0,0.044756079367442476,neutral→bull,14,9,3,bear→neutral
SHORT,1.3412,1.3408,0.00039999999999995595,4.0,0.02982403817476558,neutral→bear,14,3,8,bull→neutral
LONG,1.3408,1.3407,-9.999999999998899e-05,-1.0,-0.007458233890213976,neutral→bull,14,2,1,bear→neutral
SHORT,1.3407,1.3405,0.00019999999999997797,2.0,0.014917580368462592,neutral→bear,11,2,2,bull→neutral
LONG,1.3405,1.3406,9.999999999998899e-05,1.0,0.007459903021259902,neutral→bull,15,4,1,bear→neutral
SHORT,1.3406,1.3408,-0.00019999999999997797,-2.0,-0.014918693122480828,neutral→bear,13,5,4,bull→neutral
LONG,1.3408,1.3408,0.0,0.0,0.0,neutral→bull,20,2,1,bear→neutral
SHORT,1.3408,1.3411,-0.00029999999999996696,-3.0,-0.022374701670641928,neutral→bear,15,5,1,bull→neutral
LONG,1.3411,1.3411,0.0,0.0,0.0,neutral→bull,15,2,1,bear→neutral
SHORT,1.3411,1.3414,-0.00029999999999996696,-3.0,-0.022369696517781448,neutral→bear,15,3,1,bull→neutral
LONG,1.3414,1.3414,0.0,0.0,0.0,neutral→bull,14,2,1,bear→neutral
SHORT,1.3414,1.3414,0.0,0.0,0.0,neutral→bear,15,2,2,bull→neutral
LONG,1.3414,1.3416,0.00019999999999997797,2.0,0.014909795735796778,neutral→bull,12,5,1,bear→neutral
SHORT,1.3416,1.3412,0.00039999999999995595,4.0,0.02981514609421258,neutral→bear,16,1,6,bull→neutral
LONG,1.3412,1.3418,0.000600000000000156,6.0,0.044736057262164924,neutral→bull,10,9,5,bear→neutral
SHORT,1.3418,1.3415,0.000300000000000189,3.0,0.022358026531538903,neutral→bear,15,6,8,bull→neutral
LONG,1.3415,1.3412,-0.00029999999999996696,-3.0,-0.022363026462912185,neutral→bull,17,1,2,bear→neutral
SHORT,1.3412,1.3412,0.0,0.0,0.0,neutral→bear,12,1,2,bull→neutral
LONG,1.3412,1.3412,0.0,0.0,0.0,neutral→bull,10,3,2,bear→neutral
SHORT,1.3412,1.3415,-0.00029999999999996696,-3.0,-0.022368028631074184,neutral→bear,16,2,1,bull→neutral
LONG,1.3415,1.3424,0.0009000000000001229,9.0,0.06708907938875311,neutral→bull,20,14,4,bear→neutral
SHORT,1.3424,1.3418,0.0005999999999999339,6.0,0.044696066746121414,neutral→bear,15,1,8,bull→neutral
LONG,1.3418,1.3424,0.0005999999999999339,6.0,0.04471605306304471,neutral→bull,12,8,1,bear→neutral
SHORT,1.3424,1.3427,-0.00029999999999996696,-3.0,-0.022348033373060707,neutral→bear,15,2,1,bull→neutral
LONG,1.3427,1.3427,0.0,0.0,0.0,neutral→bull,15,2,1,bear→neutral
SHORT,1.3427,1.343,-0.00029999999999996696,-3.0,-0.022343040142992994,neutral→bear,29,3,1,bull→neutral
LONG,1.343,1.3432,0.00019999999999997797,2.0,0.014892032762470439,neutral→bull,13,4,2,bear→neutral
SHORT,1.3432,1.3432,0.0,0.0,0.0,neutral→bear,6,0,1,force
