file,version,trades,winners,losers,flat,force_closes,win_rate,spot_pnl_pips,synth_pnl_pips,total_pips,avg_pips
binance_trades_20260328_003302.csv,v3,27,13,10,4,1,48.1,24.0,17.0,41.0,1.52
binance_trades_20260328_005341.csv,v3,26,10,8,8,1,38.5,18.0,18.0,36.0,1.38
binance_trades_20260328_011231.csv,v3,20,11,5,4,1,55.0,7.0,54.0,61.0,3.05
binance_trades_20260328_013436.csv,v3,31,14,9,8,1,45.2,39.0,7.0,46.0,1.48
binance_trades_20260328_014253.csv,v3,2,2,0,0,1,100.0,2.0,12.0,14.0,7.0
binance_trades_20260328_020025.csv,v3,27,13,7,7,1,48.1,31.0,13.0,44.0,1.63
binance_trades_20260328_021721.csv,v3,23,13,7,3,1,56.5,32.0,24.0,56.0,2.43
binance_trades_20260328_023446.csv,v3,35,18,10,7,1,51.4,29.0,20.0,49.0,1.4
binance_trades_20260328_030007.csv,v3,31,15,15,1,1,48.4,17.0,13.0,30.0,0.97
binance_trades_20260328_032919.csv,v3,36,14,16,6,1,38.9,16.0,8.0,24.0,0.67
binance_trades_20260328_035729.csv,v3,23,13,8,2,1,56.5,24.0,18.0,42.0,1.83
binance_trades_20260328_042202.csv,v3,28,16,9,3,1,57.1,40.0,10.0,50.0,1.79
binance_trades_20260328_044218.csv,v3,26,11,14,1,1,42.3,-3.0,19.0,16.0,0.62
binance_trades_20260328_051149.csv,v3,23,11,6,6,1,47.8,32.0,23.0,55.0,2.39
binance_trades_20260328_052440.csv,v3,12,7,4,1,0,58.3,65.0,0.0,65.0,5.42
binance_trades_20260328_053617.csv,v3,29,11,10,8,1,37.9,30.0,20.0,50.0,1.72
binance_trades_20260328_054642.csv,v3,20,11,5,4,1,55.0,46.0,22.0,68.0,3.4
binance_trades_20260328_060116.csv,v3,26,15,6,5,1,57.7,34.0,16.0,50.0,1.92
binance_trades_20260328_061615.csv,v3,26,13,8,5,1,50.0,29.0,27.0,56.0,2.15
binance_trades_20260328_062548.csv,v3,29,14,8,7,1,48.3,37.0,29.0,66.0,2.28
binance_trades_20260328_065126.csv,v3,30,12,11,7,1,40.0,7.0,14.0,21.0,0.7
binance_trades_20260328_071337.csv,v3,27,13,6,8,1,48.1,26.0,21.0,47.0,1.74
binance_trades_20260328_073305.csv,v3,29,14,10,5,1,48.3,21.0,13.0,34.0,1.17
binance_trades_20260328_080051.csv,v3,38,15,19,4,1,39.5,15.0,-8.0,7.0,0.18
binance_trades_20260328_082737.csv,v3,34,10,20,4,1,29.4,5.0,-2.0,3.0,0.09
binance_trades_20260328_085409.csv,v3,12,5,6,1,1,41.7,-15.0,23.0,8.0,0.67
binance_trades_20260328_092114.csv,v3,39,14,20,5,1,35.9,-6.0,8.0,2.0,0.05
binance_trades_20260328_095138.csv,v3,36,12,21,3,1,33.3,0.0,6.0,6.0,0.17
binance_trades_20260328_100801.csv,v3,29,14,12,3,0,48.3,40.0,-2.0,38.0,1.31
binance_trades_20260328_102833.csv,v3,16,10,5,1,1,62.5,-4.0,30.0,26.0,1.62
binance_trades_20260328_105139.csv,v3,30,12,12,6,1,40.0,12.0,18.0,30.0,1.0
binance_trades_20260328_112001.csv,v3,30,11,11,8,0,36.7,21.0,7.0,28.0,0.93
binance_trades_20260328_114837.csv,v3,35,8,18,9,1,22.9,-4.0,-12.0,-16.0,-0.46
binance_trades_20260328_121150.csv,v3,20,11,7,2,1,55.0,16.0,32.0,48.0,2.4
binance_trades_20260328_123349.csv,v3,22,10,10,2,1,45.5,26.0,20.0,46.0,2.09
binance_trades_20260328_125940.csv,v3,36,10,21,5,0,27.8,0.0,3.0,3.0,0.08
binance_trades_20260328_132401.csv,v3,35,14,16,5,1,40.0,11.0,-1.0,10.0,0.29
binance_trades_20260328_133721.csv,v3,31,8,15,8,1,25.8,19.0,-9.0,10.0,0.32
binance_trades_20260328_134417.csv,v3,13,8,4,1,1,61.5,102.0,1.0,103.0,7.92
binance_trades_20260328_135034.csv,v3,28,13,11,4,1,46.4,12.0,17.0,29.0,1.04
binance_trades_20260328_140150.csv,v3,34,11,9,14,0,32.4,19.0,17.0,36.0,1.06
binance_trades_20260328_141022.csv,v3,31,16,8,7,1,51.6,20.0,18.0,38.0,1.23
binance_trades_20260328_142213.csv,v3,32,17,11,4,0,53.1,37.0,21.0,58.0,1.81
binance_trades_20260328_143848.csv,v3,35,16,15,4,1,45.7,17.0,11.0,28.0,0.8
binance_trades_20260328_145043.csv,v3,30,13,9,8,1,43.3,32.0,10.0,42.0,1.4
binance_trades_20260328_150229.csv,v3,4,1,3,0,1,25.0,-40.0,1.0,-39.0,-9.75
binance_trades_20260328_151416.csv,v3,26,12,12,2,1,46.2,32.0,2.0,34.0,1.31
binance_trades_20260328_152159.csv,v3,19,14,5,0,1,73.7,66.0,13.0,79.0,4.16
binance_trades_20260328_152850.csv,v3,24,12,10,2,1,50.0,5.0,20.0,25.0,1.04
binance_trades_20260328_153853.csv,v3,30,12,9,9,1,40.0,27.0,11.0,38.0,1.27
binance_trades_20260328_155531.csv,v3,25,15,7,3,1,60.0,23.0,22.0,45.0,1.8
binance_trades_20260328_161129.csv,v3,33,15,13,5,1,45.5,30.0,15.0,45.0,1.36
binance_trades_20260328_162737.csv,v3,34,13,11,10,1,38.2,10.0,18.0,28.0,0.82
binance_trades_20260328_164558.csv,v3,36,13,17,6,1,36.1,-11.0,12.0,1.0,0.03
binance_trades_20260328_170832.csv,v3,32,14,13,5,1,43.8,12.0,16.0,28.0,0.88
binance_trades_20260328_173118.csv,v3,32,14,12,6,1,43.8,10.0,33.0,43.0,1.34
binance_trades_20260328_174728.csv,v3,36,15,16,5,0,41.7,23.0,30.0,53.0,1.47
binance_trades_20260328_181916.csv,v3,36,13,17,6,0,36.1,1.0,-7.0,-6.0,-0.17
binance_trades_20260328_185438.csv,v3,41,15,19,7,1,36.6,3.0,9.0,12.0,0.29
binance_trades_20260328_192040.csv,v3,20,7,12,1,1,35.0,-19.0,13.0,-6.0,-0.3
binance_trades_20260328_200207.csv,v3,33,11,18,4,1,33.3,15.0,-8.0,7.0,0.21
binance_trades_20260328_203352.csv,v3,23,10,8,5,1,43.5,-2.0,17.0,15.0,0.65
binance_trades_20260328_211403.csv,v3,28,11,15,2,1,39.3,25.0,18.0,43.0,1.54
binance_trades_20260328_213840.csv,v3,26,10,14,2,1,38.5,20.0,21.0,41.0,1.58
binance_trades_20260328_215338.csv,v3,28,14,10,4,1,50.0,21.0,26.0,47.0,1.68
binance_trades_20260328_220403.csv,v3,30,10,15,5,1,33.3,26.0,12.0,38.0,1.27
binance_trades_20260328_222149.csv,v3,29,15,10,4,1,51.7,32.0,18.0,50.0,1.72
binance_trades_20260328_224534.csv,v3,23,10,6,7,1,43.5,1.0,37.0,38.0,1.65
binance_trades_20260328_230902.csv,v3,27,10,14,3,1,37.0,-1.0,27.0,26.0,0.96
binance_trades_20260328_231347.csv,v3,12,10,1,1,1,83.3,30.0,48.0,78.0,6.5
binance_trades_20260328_232213.csv,v3,12,7,4,1,1,58.3,22.0,24.0,46.0,3.83
binance_trades_20260328_234441.csv,v3,31,14,9,8,1,45.2,18.0,25.0,43.0,1.39
binance_trades_20260329_000215.csv,v3,29,15,9,5,1,51.7,33.0,9.0,42.0,1.45
binance_trades_20260329_001705.csv,v3,24,9,9,6,1,37.5,-9.0,14.0,5.0,0.21
binance_trades_20260329_003121.csv,v3,10,5,3,2,1,50.0,20.0,23.0,43.0,4.3
binance_trades_20260329_005112.csv,v3,32,12,16,4,1,37.5,7.0,11.0,18.0,0.56
binance_trades_20260329_010832.csv,v3,34,16,14,4,1,47.1,51.0,4.0,55.0,1.62
binance_trades_20260329_013046.csv,v3,34,19,10,5,1,55.9,26.0,18.0,44.0,1.29
binance_trades_20260329_015511.csv,v3,19,10,7,2,1,52.6,8.0,11.0,19.0,1.0
binance_trades_20260329_022451.csv,v3,26,15,7,4,1,57.7,24.0,20.0,44.0,1.69
binance_trades_20260329_025350.csv,v3,25,8,11,6,1,32.0,9.0,-8.0,1.0,0.04
binance_trades_20260329_031659.csv,v3,29,8,14,7,1,27.6,14.0,-0.0,14.0,0.48
binance_trades_20260329_033936.csv,v3,29,12,9,8,1,41.4,4.0,12.0,16.0,0.55
binance_trades_20260329_041521.csv,v3,27,13,10,4,0,48.1,6.0,20.0,26.0,0.96
binance_trades_20260329_045008.csv,v3,29,8,15,6,1,27.6,0.0,2.0,2.0,0.07
binance_trades_20260329_051643.csv,v3,17,7,9,1,1,41.2,-19.0,18.0,-1.0,-0.06
binance_trades_20260329_053759.csv,v3,28,9,14,5,1,32.1,3.0,14.0,17.0,0.61
binance_trades_20260329_055539.csv,v3,25,13,9,3,1,52.0,9.0,19.0,28.0,1.12
binance_trades_20260329_062438.csv,v3,24,11,9,4,1,45.8,37.0,-2.0,35.0,1.46
binance_trades_20260329_064541.csv,v3,23,14,5,4,1,60.9,55.0,10.0,65.0,2.83
binance_trades_20260329_065627.csv,v3,26,14,9,3,1,53.8,13.0,20.0,33.0,1.27
binance_trades_20260329_070437.csv,v3,20,11,6,3,1,55.0,20.0,25.0,45.0,2.25
binance_trades_20260329_073137.csv,v3,30,12,15,3,1,40.0,1.0,11.0,12.0,0.4
binance_trades_20260329_080056.csv,v3,30,15,9,6,1,50.0,37.0,23.0,60.0,2.0
binance_trades_20260329_083144.csv,v3,29,12,15,2,1,41.4,28.0,-1.0,27.0,0.93
binance_trades_20260329_085648.csv,v3,26,12,10,4,1,46.2,28.0,19.0,47.0,1.81
binance_trades_20260329_091938.csv,v3,27,8,15,4,1,29.6,-16.0,-1.0,-17.0,-0.63
binance_trades_20260329_094414.csv,v3,29,13,11,5,1,44.8,21.0,27.0,48.0,1.66
binance_trades_20260329_101443.csv,v3,31,11,15,5,1,35.5,-5.0,15.0,10.0,0.32
binance_trades_20260329_103321.csv,v3,15,7,4,4,1,46.7,-10.0,10.0,-0.0,-0.0
binance_trades_20260329_110419.csv,v3,27,14,9,4,1,51.9,39.0,-1.0,38.0,1.41
binance_trades_20260329_111612.csv,v3,23,11,9,3,1,47.8,32.0,13.0,45.0,1.96
binance_trades_20260329_113817.csv,v3,30,16,8,6,0,53.3,25.0,26.0,51.0,1.7
binance_trades_20260329_120035.csv,v3,36,13,13,10,1,36.1,8.0,3.0,11.0,0.31
binance_trades_20260329_122704.csv,v3,27,10,13,4,1,37.0,-10.0,8.0,-2.0,-0.07
binance_trades_20260329_125338.csv,v3,18,5,8,5,1,27.8,-16.0,-3.0,-19.0,-1.06
binance_trades_20260329_131109.csv,v3,10,1,8,1,1,10.0,-68.0,-1.0,-69.0,-6.9
binance_trades_20260329_132452.csv,v3,30,11,9,10,1,36.7,8.0,-1.0,7.0,0.23
binance_trades_20260329_134419.csv,v3,33,8,14,11,1,24.2,-5.0,5.0,0.0,0.0
binance_trades_20260329_135852.csv,v3,23,12,6,5,1,52.2,20.0,45.0,65.0,2.83
binance_trades_20260329_141309.csv,v3,23,13,5,5,1,56.5,51.0,19.0,70.0,3.04
binance_trades_20260329_143051.csv,v3,10,1,7,2,1,10.0,-56.0,-1.0,-57.0,-5.7
