file,version,trades,winners,losers,force_closes,win_rate,total_pnl,avg_pnl
questdb-query-1751814162388.csv,v1,110,38,72,1,34.5,0.0055,5e-05
questdb-query-1751814162388.csv,v2,45,26,19,1,57.8,0.0102,0.000227
questdb-query-1751814162388.csv,v3,60,28,32,1,46.7,0.0121,0.000202
questdb-query-1751814162388.csv,v4,60,21,39,1,35.0,-0.0025,-4.2e-05
questdb-query-1751823646841.csv,v1,124,30,94,1,24.2,0.0008,6e-06
questdb-query-1751823646841.csv,v2,56,27,29,1,48.2,0.0056,0.0001
questdb-query-1751823646841.csv,v3,83,29,54,1,34.9,0.006,7.2e-05
questdb-query-1751823646841.csv,v4,88,23,65,1,26.1,-0.0013,-1.5e-05
questdb-query-1751880848676.csv,v1,122,26,96,1,21.3,-0.0013,-1.1e-05
questdb-query-1751880848676.csv,v2,47,20,27,1,42.6,0.0055,0.000117
questdb-query-1751880848676.csv,v3,79,22,57,1,27.8,0.0037,4.7e-05
questdb-query-1751880848676.csv,v4,81,19,62,1,23.5,-0.0044,-5.4e-05
questdb-query-1751909192925.csv,v1,53,24,29,1,45.3,0.0134,0.000253
questdb-query-1751909192925.csv,v2,31,20,11,1,64.5,0.0137,0.000442
questdb-query-1751909192925.csv,v3,41,24,17,1,58.5,0.0149,0.000363
questdb-query-1751909192925.csv,v4,42,21,21,1,50.0,0.0067,0.00016
questdb-query-1751924112805.csv,v1,60,21,39,1,35.0,0.0068,0.000113
questdb-query-1751924112805.csv,v2,26,15,11,1,57.7,0.0096,0.000369
questdb-query-1751924112805.csv,v3,38,18,20,1,47.4,0.0102,0.000268
questdb-query-1751924112805.csv,v4,38,14,24,1,36.8,0.0041,0.000108
questdb-query-1751958417525.csv,v1,146,20,126,1,13.7,-0.0069,-4.7e-05
questdb-query-1751958417525.csv,v2,55,13,42,1,23.6,0.0012,2.2e-05
questdb-query-1751958417525.csv,v3,87,20,67,1,23.0,0.0004,5e-06
questdb-query-1751958417525.csv,v4,88,11,77,1,12.5,-0.0093,-0.000106
questdb-query-1751984700242.csv,v1,70,35,35,1,50.0,0.0105,0.00015
questdb-query-1751984700242.csv,v2,41,24,17,1,58.5,0.0106,0.000259
questdb-query-1751984700242.csv,v3,49,29,20,1,59.2,0.013,0.000265
questdb-query-1751984700242.csv,v4,51,24,27,1,47.1,0.0048,9.4e-05
questdb-query-1751987436731.csv,v1,100,37,63,1,37.0,0.0073,7.3e-05
questdb-query-1751987436731.csv,v2,49,30,19,1,61.2,0.01,0.000204
questdb-query-1751987436731.csv,v3,65,35,30,1,53.8,0.0118,0.000182
questdb-query-1751987436731.csv,v4,66,27,39,1,40.9,0.0031,4.7e-05
questdb-query-1751990194216.csv,v1,85,34,51,1,40.0,0.0152,0.000179
questdb-query-1751990194216.csv,v2,47,30,17,1,63.8,0.016,0.00034
questdb-query-1751990194216.csv,v3,54,33,21,1,61.1,0.0194,0.000359
questdb-query-1751990194216.csv,v4,56,25,31,1,44.6,0.0094,0.000168
questdb-query-1751993844367.csv,v1,141,35,106,1,24.8,0.004,2.8e-05
questdb-query-1751993844367.csv,v2,61,30,31,1,49.2,0.0097,0.000159
questdb-query-1751993844367.csv,v3,91,34,57,1,37.4,0.0097,0.000107
questdb-query-1751993844367.csv,v4,90,27,63,1,30.0,0.0022,2.4e-05
questdb-query-1752000467711.csv,v1,106,32,74,0,30.2,0.0074,7e-05
questdb-query-1752000467711.csv,v2,53,29,24,1,54.7,0.0088,0.000166
questdb-query-1752000467711.csv,v3,70,31,39,1,44.3,0.0107,0.000153
questdb-query-1752000467711.csv,v4,70,27,43,1,38.6,0.0048,6.9e-05
questdb-query-1752003744108.csv,v1,93,30,63,1,32.3,0.0093,0.0001
questdb-query-1752003744108.csv,v2,43,24,19,1,55.8,0.0116,0.00027
questdb-query-1752003744108.csv,v3,59,29,30,1,49.2,0.0129,0.000219
questdb-query-1752003744108.csv,v4,61,20,41,1,32.8,-0.0007,-1.1e-05
questdb-query-1752056238892.csv,v1,158,24,134,1,15.2,-0.0048,-3e-05
questdb-query-1752056238892.csv,v2,60,21,39,1,35.0,0.0044,7.3e-05
questdb-query-1752056238892.csv,v3,101,23,78,1,22.8,0.0025,2.5e-05
questdb-query-1752056238892.csv,v4,104,13,91,1,12.5,-0.0085,-8.2e-05
questdb-query-1752059055042.csv,v1,93,19,74,1,20.4,0.0042,4.5e-05
questdb-query-1752059055042.csv,v2,37,18,19,0,48.6,0.0082,0.000222
questdb-query-1752059055042.csv,v3,55,19,36,1,34.5,0.0088,0.00016
questdb-query-1752059055042.csv,v4,58,12,46,1,20.7,0.0023,4e-05
questdb-query-1752255003359.csv,v1,91,50,41,1,54.9,0.0278,0.000305
questdb-query-1752255003359.csv,v2,55,41,14,1,74.5,0.027,0.000491
questdb-query-1752255003359.csv,v3,66,45,21,1,68.2,0.03,0.000455
questdb-query-1752255003359.csv,v4,67,36,31,1,53.7,0.0178,0.000266
questdb-query-1752509592905.csv,v1,70,33,37,1,47.1,0.0204,0.000291
questdb-query-1752509592905.csv,v2,35,24,11,1,68.6,0.0225,0.000643
questdb-query-1752509592905.csv,v3,48,25,23,1,52.1,0.0235,0.00049
questdb-query-1752509592905.csv,v4,50,24,26,1,48.0,0.0093,0.000186
questdb-query-1753534868337.csv,v1,116,18,98,1,15.5,-0.0012,-1e-05
questdb-query-1753534868337.csv,v2,38,15,23,0,39.5,0.0064,0.000168
questdb-query-1753534868337.csv,v3,65,15,50,1,23.1,0.0049,7.5e-05
questdb-query-1753534868337.csv,v4,66,9,57,1,13.6,-0.0062,-9.4e-05
questdb-query-1753551814823.csv,v1,93,35,58,1,37.6,0.0123,0.000132
questdb-query-1753551814823.csv,v2,45,28,17,0,62.2,0.0151,0.000336
questdb-query-1753551814823.csv,v3,61,32,29,1,52.5,0.0167,0.000274
questdb-query-1753551814823.csv,v4,62,29,33,1,46.8,0.0105,0.000169
questdb-query-1753564543126.csv,v1,148,43,105,1,29.1,0.0165,0.000111
questdb-query-1753564543126.csv,v2,67,38,29,1,56.7,0.0224,0.000334
questdb-query-1753564543126.csv,v3,104,42,62,1,40.4,0.022,0.000212
questdb-query-1753564543126.csv,v4,105,29,76,1,27.6,0.0014,1.3e-05
questdb-query-1753612688661.csv,v1,135,45,90,1,33.3,0.0144,0.000107
questdb-query-1753612688661.csv,v2,59,34,25,1,57.6,0.0203,0.000344
questdb-query-1753612688661.csv,v3,83,38,45,1,45.8,0.0215,0.000259
questdb-query-1753612688661.csv,v4,85,27,58,1,31.8,-0.0002,-2e-06
