trade_sequence,price,entropy
3.0,2.2358,-5.588587460596928e-05
23.0,2.2359,-0.0017185256199486
62.0,2.2361,-0.0115475347471478
66.0,2.2361,-0.0130286027514502
70.0,2.2361,-0.0145972840631191
121.0,2.2364,-0.0423142626869326
123.0,2.2364,-0.0436626731110625
145.0,2.2363,-0.0596834312176959
163.0,2.2362,-0.0743754804209461
172.0,2.2362,-0.0823411590304598
187.0,2.2361,-0.0961984850214932
207.0,2.236,-0.1160731856780836
215.0,2.2359,-0.1243311370439944
230.0,2.2358,-0.1405574370741528
246.0,2.2357,-0.1586578650148739
250.0,2.2357,-0.1634881706228586
290.0,2.2359,-0.21294222587386
303.0,2.2358,-0.2294820769421424
320.0,2.2357,-0.251639181236181
333.0,2.2356,-0.2688474072638662
355.0,2.2355,-0.2985497732735097
374.0,2.2355,-0.324818462039095
382.0,2.2355,-0.3358000574479741
514.0,2.2363,-0.5164863954915306
519.0,2.2363,-0.5229761823580854
521.0,2.2363,-0.5246336801780743
539.0,2.2362,-0.5466913986048657
550.0,2.2361,-0.55988977958131
565.0,2.236,-0.5775315686063744
622.0,2.2364,-0.641192802856996
643.0,2.2363,-0.6616005086061838
654.0,2.2362,-0.6711907647702651
667.0,2.2361,-0.6828995582481614
679.0,2.236,-0.6944147099237828
688.0,2.236,-0.7029720558647765
691.0,2.236,-0.7069700011333351
693.0,2.236,-0.7051455974607768
775.0,2.2366,-0.7603793887604653
780.0,2.2366,-0.7661578492767701
794.0,2.2366,-0.7707327531911409
796.0,2.2366,-0.77314598668207
886.0,2.2373,-0.8024965535481354
960.0,2.2377,-0.8084698104350219
974.0,2.2377,-0.8082060064694099
991.0,2.2376,-0.8077010163424541
1004.0,2.2375,-0.8088223025253625
1018.0,2.2374,-0.8049514395273004
1030.0,2.2373,-0.8033905293363564
1042.0,2.2372,-0.8061295864746737
1055.0,2.2371,-0.8003653010569942
1063.0,2.237,-0.8000427024580307
1074.0,2.237,-0.7976008521934603
1094.0,2.2369,-0.7896105645505551
1100.0,2.2368,-0.7880346886575884
1106.0,2.2368,-0.7867316783142045
1111.0,2.2368,-0.7853591759525912
1127.0,2.2368,-0.7805939626378507
1141.0,2.2368,-0.7758190752810993
1146.0,2.2368,-0.7733700514564827
1157.0,2.2367,-0.7688404946525085
1167.0,2.2366,-0.7651246760676652
1186.0,2.2365,-0.7576075244202322
1198.0,2.2364,-0.7544649149011653
1214.0,2.2363,-0.7458126662406184
1227.0,2.2362,-0.7399908518194267
1232.0,2.2362,-0.7379910624543702
1244.0,2.2361,-0.7330503067106099
1302.0,2.2365,-0.7027967359111233
1320.0,2.2364,-0.6916941822084794
1333.0,2.2363,-0.6848375810275944
1344.0,2.2362,-0.6794016583552616
1347.0,2.2362,-0.6793717041660766
1351.0,2.2362,-0.6756369653367555
1353.0,2.2362,-0.6737090778568378
1363.0,2.2362,-0.6697341920969357
1365.0,2.2362,-0.6682313751616183
1369.0,2.2362,-0.6648378122284686
1385.0,2.2361,-0.6557026227733491
1389.0,2.2361,-0.6583593994771613
1396.0,2.2361,-0.6500289224939497
1400.0,2.2361,-0.646868583448375
1420.0,2.2361,-0.6349120881113065
1438.0,2.236,-0.6308141813781388
1453.0,2.2359,-0.6154210760931724
1465.0,2.2358,-0.6082385284098792
1488.0,2.2357,-0.6003470633119642
1574.0,2.2364,-0.5409036852315214
1580.0,2.2364,-0.5372754846681339
1584.0,2.2364,-0.5371877624123366
1659.0,2.2368,-0.4894570346878805
1666.0,2.2368,-0.4854688787758947
1669.0,2.2368,-0.4836960462824035
1674.0,2.2368,-0.480848003028137
1686.0,2.2367,-0.4741256943177985
1693.0,2.2367,-0.4707205675911789
1695.0,2.2367,-0.4688202921669118
1722.0,2.2369,-0.4531076133383866
1875.0,2.2379,-0.3694215396117881
1880.0,2.2379,-0.3663735829729716
1885.0,2.2379,-0.3643806370336914
1945.0,2.2383,-0.3340265823562294
1959.0,2.2382,-0.3275020556604013
1969.0,2.2381,-0.3231793972721376
1977.0,2.2381,-0.3192912315955877
1986.0,2.238,-0.3153014048763278
1991.0,2.238,-0.3130180789352465
2002.0,2.2379,-0.3081772578294561
2012.0,2.2378,-0.3039942726938334
2025.0,2.2377,-0.2982734592996763
2036.0,2.2376,-0.2936438354932412
2046.0,2.2375,-0.2894538163468964
2057.0,2.2374,-0.2848263427440233
2070.0,2.2373,-0.2796185447772788
2082.0,2.2373,-0.2747581929894903
2096.0,2.2372,-0.2693141364520063
2110.0,2.2371,-0.2633723192759148
2125.0,2.237,-0.2575933155616932
2128.0,2.237,-0.2565547132093661
2133.0,2.237,-0.2549214741188987
2152.0,2.237,-0.247269426930995
2159.0,2.2369,-0.2446225700638304
2173.0,2.2368,-0.2395116111544438
2183.0,2.2367,-0.2359807382009706
2196.0,2.2366,-0.2316185282102435
2204.0,2.2366,-0.2285675410822197
2207.0,2.2366,-0.2276542292148685
2289.0,2.2371,-0.1995620572218906
2338.0,2.2375,-0.184029583288733
2350.0,2.2374,-0.1805545734998254
2369.0,2.2373,-0.175143167419865
2379.0,2.2372,-0.1723841144372431
2389.0,2.2371,-0.1696621950624293
2458.0,2.2376,-0.1511169307289409
2491.0,2.2377,-0.1429750567694878
2506.0,2.2376,-0.1395334864765833
2518.0,2.2375,-0.1368570261284641
2546.0,2.2375,-0.1305737011405673
2550.0,2.2375,-0.1296137486918399
2572.0,2.2374,-0.1248835840802954
2576.0,2.2374,-0.124129438793638
2583.0,2.2374,-0.1226413411859185
2606.0,2.2373,-0.117909759164326
