trade_sequence,price,entropy
4.0,2.2359,-0.00011318236283097136
19.0,2.236,-0.0016184887725387
24.0,2.236,-0.0024997383126345
44.0,2.2361,-0.0079697235819787
50.0,2.2362,-0.010245168366084
64.0,2.2362,-0.0164827405712666
68.0,2.2362,-0.0185297348545287
72.0,2.2362,-0.0206942473741108
92.0,2.2363,-0.033342436956222
101.0,2.2364,-0.0400303365103956
116.0,2.2365,-0.0523726018640573
122.0,2.2365,-0.0576918949753496
171.0,2.2363,-0.1094056555072242
248.0,2.2358,-0.2165856720071082
251.0,2.2358,-0.2211468386465032
262.0,2.2359,-0.2390352847820951
281.0,2.236,-0.2707237294318089
364.0,2.2356,-0.4177712959047237
381.0,2.2356,-0.449425977623607
383.0,2.2356,-0.4538917963241953
394.0,2.2357,-0.4738965879516208
400.0,2.2358,-0.4851027208256713
413.0,2.2359,-0.5095492742699713
421.0,2.236,-0.524573158874691
443.0,2.2361,-0.5654028113788894
448.0,2.2362,-0.5747699215133122
486.0,2.2363,-0.6434740717475351
506.0,2.2364,-0.6792488852728406
516.0,2.2364,-0.6976842618484219
520.0,2.2364,-0.7027546406259876
566.0,2.2361,-0.7772378150305772
574.0,2.2362,-0.7920560314010636
600.0,2.2363,-0.8286919641315716
605.0,2.2364,-0.8359767812991767
620.0,2.2365,-0.8571483377693339
685.0,2.2361,-0.9466518383966308
690.0,2.2361,-0.9452815770979608
692.0,2.2361,-0.9463767826498116
695.0,2.2361,-0.9489607111419572
714.0,2.2362,-0.9684782104237996
721.0,2.2363,-0.9753236446022012
733.0,2.2364,-0.986572268814252
744.0,2.2365,-0.9963231768381926
758.0,2.2366,-1.0080245104272314
769.0,2.2367,-1.0169880488533698
778.0,2.2367,-1.0251973051535348
781.0,2.2367,-1.026345381747093
795.0,2.2367,-1.035771065426096
797.0,2.2367,-1.0380792049379293
820.0,2.2368,-1.0494288885491452
827.0,2.2369,-1.0530198798402657
841.0,2.237,-1.0596709120329342
854.0,2.2371,-1.0651124096826634
866.0,2.2372,-1.0696404848051233
874.0,2.2373,-1.0725860252717934
885.0,2.2374,-1.0754805135549428
887.0,2.2374,-1.077773043914587
916.0,2.2375,-1.0818033875896682
929.0,2.2376,-1.083416776707379
942.0,2.2377,-1.0844120232667336
956.0,2.2378,-1.0848803025332148
961.0,2.2378,-1.0863452872406367
1073.0,2.2371,-1.067338648415724
1105.0,2.2369,-1.057164356486436
1109.0,2.2369,-1.056601877226942
1117.0,2.2369,-1.0511698338344388
1132.0,2.2369,-1.045224930272112
1145.0,2.2369,-1.0385964204436111
1230.0,2.2363,-0.9931143652607146
1250.0,2.2362,-0.9807073364845836
1259.0,2.2363,-0.9752078704337476
1270.0,2.2364,-0.9647283717877893
1282.0,2.2365,-0.959527903901522
1297.0,2.2366,-0.9452001441855008
1346.0,2.2363,-0.9101730456931452
1350.0,2.2363,-0.90763574739247
1352.0,2.2363,-0.9103216897940964
1360.0,2.2363,-0.8993550544887366
1364.0,2.2363,-0.8962837726916687
1366.0,2.2363,-0.8953423731994358
1388.0,2.2362,-0.8794600510746793
1390.0,2.2362,-0.8796167757465357
1398.0,2.2362,-0.873029253550244
1407.0,2.2362,-0.862744813312093
1492.0,2.2358,-0.7953117978875965
1498.0,2.2359,-0.7901495926758222
1508.0,2.236,-0.7814191805279451
1519.0,2.2361,-0.772173113084067
1535.0,2.2362,-0.759887917383197
1548.0,2.2363,-0.7478258275275002
1559.0,2.2364,-0.7386767575712776
1571.0,2.2365,-0.7288573386315297
1576.0,2.2365,-0.7249924698581673
1582.0,2.2365,-0.7205691245307699
1586.0,2.2365,-0.7179012309718683
1609.0,2.2366,-0.6975958491630292
1624.0,2.2367,-0.6853124725235669
1635.0,2.2368,-0.6762819058948231
1649.0,2.2369,-0.6649284610030908
1660.0,2.2369,-0.6563083374474384
1667.0,2.2369,-0.6507131212139567
1673.0,2.2369,-0.6460987397442223
1691.0,2.2368,-0.6329282487053031
1694.0,2.2368,-0.6303048845194754
1696.0,2.2368,-0.6282704047972918
1709.0,2.2369,-0.6179649404022675
1719.0,2.237,-0.6101195779530009
1725.0,2.237,-0.605769950432794
1732.0,2.2371,-0.6002749040807958
1744.0,2.2372,-0.5908354996283068
1754.0,2.2373,-0.5829115533467026
1777.0,2.2374,-0.565634543361785
1786.0,2.2375,-0.5588014472954121
1795.0,2.2376,-0.5520310263335091
1807.0,2.2377,-0.543187734739401
1818.0,2.2378,-0.535209381114802
1860.0,2.2379,-0.5054247854157131
1872.0,2.238,-0.4971012329067391
1877.0,2.238,-0.4940365120689967
1883.0,2.238,-0.4895683972366491
1887.0,2.238,-0.4872607586723135
1900.0,2.2381,-0.4779555671014708
1909.0,2.2382,-0.4718162808553079
1925.0,2.2383,-0.461173706395435
1938.0,2.2384,-0.4526481287514006
1976.0,2.2382,-0.4290756731708071
1990.0,2.2381,-0.421256797399219
2081.0,2.2374,-0.3694030535032814
2126.0,2.2371,-0.3458261113844782
2132.0,2.2371,-0.3421478539289466
2149.0,2.2371,-0.3333877060821433
2203.0,2.2367,-0.3073998085774831
2205.0,2.2367,-0.3063455798505571
2209.0,2.2367,-0.3042879028714955
2225.0,2.2368,-0.2966385674184442
2235.0,2.2369,-0.2919008855499668
2252.0,2.237,-0.2840735505998136
2263.0,2.2371,-0.2790601858170172
2283.0,2.2372,-0.2702299898149113
2290.0,2.2372,-0.2673919193119346
2301.0,2.2373,-0.2625491023205909
2313.0,2.2374,-0.2573823326960438
2322.0,2.2375,-0.2535800311971907
2337.0,2.2376,-0.2474310038012765
2392.0,2.2372,-0.2266599129753834
2401.0,2.2373,-0.2233318690606955
2410.0,2.2374,-0.2198383839329055
2418.0,2.2375,-0.216977371471916
2429.0,2.2376,-0.2128849471076761
2449.0,2.2377,-0.2059181504488862
2459.0,2.2377,-0.2024897372991529
2467.0,2.2378,-0.1997539411635888
2534.0,2.2376,-0.1788586249044543
2548.0,2.2376,-0.1745150301456619
2574.0,2.2375,-0.1671121227195367
2581.0,2.2375,-0.1651543221739551
