trade_sequence,price,entropy
1.0,2.291,-1.8795872124865674e-05
2.0,2.291,-3.7861502009994754e-05
3.0,2.291,-6.360037823633329e-05
4.0,2.291,-9.601199155438391e-05
5.0,2.291,-0.00013509572382186958
6.0,2.291,-0.00018085082418534587
7.0,2.291,-0.0002332764209018686
8.0,2.291,-0.0002923715190701579
9.0,2.291,-0.0003581350006614225
10.0,2.291,-0.0004305656245539626
11.0,2.291,-0.0005096621268683859
12.0,2.291,-0.0005954228684614348
13.0,2.291,-0.0006878463045365204
14.0,2.291,-0.0007869307043774894
15.0,2.291,-0.0008926742145908213
16.0,2.291,-0.0010050748591625
17.0,2.291,-0.001124130539519
19.0,2.2909,-0.0013627864816253
20.0,2.2909,-0.0015008421584597
21.0,2.2909,-0.0016455437193576
22.0,2.2909,-0.0017968884470472
23.0,2.2909,-0.0019548735276084
24.0,2.2909,-0.0021194960249219
25.0,2.2909,-0.0022907528807597
26.0,2.2909,-0.0024686378344315
27.0,2.2909,-0.0026531531326656
28.0,2.2909,-0.002844292810962
29.0,2.2909,-0.0030420533182081
30.0,2.2909,-0.003246430981497
31.0,2.2909,-0.0034574220062398
33.0,2.2908,-0.0038666505543277
34.0,2.2908,-0.004096514711994
35.0,2.2908,-0.0043329765826667
36.0,2.2908,-0.0045760317833813
37.0,2.2908,-0.0048256758116853
38.0,2.2908,-0.0050819040442599
39.0,2.2908,-0.0053447117370615
40.0,2.2908,-0.0056140940254682
42.0,2.2907,-0.0061316741231159
43.0,2.2907,-0.006419819585977
44.0,2.2907,-0.0067145207826776
45.0,2.2907,-0.0070157718383334
46.0,2.2907,-0.0073235672079
47.0,2.2907,-0.0076379012272328
48.0,2.2907,-0.0079587681132592
49.0,2.2907,-0.0082862205233603
50.0,2.2907,-0.0086201414263521
51.0,2.2907,-0.0089605775134124
52.0,2.2907,-0.0093075225426177
54.0,2.2908,-0.0100728105555543
55.0,2.2908,-0.0104401481339044
56.0,2.2908,-0.0108139661599105
57.0,2.2908,-0.0111942620241054
58.0,2.2908,-0.0115810207983152
59.0,2.2908,-0.0119742391603099
60.0,2.2908,-0.0123738801066008
61.0,2.2908,-0.012779993311112
62.0,2.2908,-0.013192543919672
63.0,2.2908,-0.0136115243427891
64.0,2.2908,-0.0140369268749707
65.0,2.2908,-0.0144687436949598
67.0,2.2909,-0.0154156524266482
68.0,2.2909,-0.0158675683695186
69.0,2.2909,-0.0163258646672734
70.0,2.2909,-0.0167905329056304
71.0,2.2909,-0.017261564553541
72.0,2.2909,-0.0177389509659804
73.0,2.2909,-0.0182226833842113
75.0,2.291,-0.0192804952942982
76.0,2.291,-0.019784103558829
77.0,2.291,-0.0202940200014421
78.0,2.291,-0.020810235282497
79.0,2.291,-0.0213327399467818
80.0,2.291,-0.0218615244273571
81.0,2.291,-0.0223965790458475
83.0,2.2909,-0.0234070382173048
85.0,2.291,-0.0245994091671276
86.0,2.291,-0.0251655917435542
87.0,2.291,-0.0257380594688029
88.0,2.291,-0.0263167265455254
89.0,2.291,-0.0269015824158912
90.0,2.291,-0.0274926164133896
91.0,2.291,-0.028089817763154
92.0,2.291,-0.0286931755822848
93.0,2.291,-0.0293026788801781
