trade_sequence,price,entropy
152.0,2.2915,-0.087193228982894
327.0,2.2926,-0.3531328424941252
721.0,2.2937,-0.9723614841527936
740.0,2.2938,-0.989460294137606
847.0,2.2941,-1.0572773750049798
975.0,2.295,-1.0785460664873598
1042.0,2.295,-1.0682910079063048
1319.0,2.2939,-0.921206714829106
1334.0,2.2942,-0.909246958177669
1662.0,2.2939,-0.6489952095606804
1678.0,2.2939,-0.6372924737535675
1688.0,2.2939,-0.6289391776963142
1714.0,2.2941,-0.6083384359258848
1936.0,2.2951,-0.4506087939630926
1939.0,2.2951,-0.448708023281143
2031.0,2.2943,-0.3940219920677874
2499.0,2.2977,-0.185221922252367
2512.0,2.2977,-0.1812476877123534
2516.0,2.2977,-0.1800605678443648
2536.0,2.2977,-0.1740534125244112
2624.0,2.2978,-0.1498470909917837
2734.0,2.2969,-0.1242492010381161
2779.0,2.2967,-0.1149149269461984
2872.0,2.2966,-0.0974729311735289
2875.0,2.2966,-0.0969691801764658
2882.0,2.2966,-0.0957520015239177
2884.0,2.2966,-0.0954191576206646
3085.0,2.2973,-0.066073436240612
3178.0,2.2978,-0.0555296517028218
3236.0,2.2981,-0.0497864007750585
3253.0,2.2982,-0.0482058745464292
3303.0,2.2983,-0.0438736488272027
3323.0,2.2984,-0.0422370186445414
3328.0,2.2984,-0.0418402615855991
3570.0,2.2989,-0.0263303690330005
