trade_sequence,price,entropy
1038.0,2.2949,-0.8034418532818247
1041.0,2.2949,-0.8019142712732805
1043.0,2.2949,-0.8030618721957649
1123.0,2.2947,-0.7810529149594861
1183.0,2.2942,-0.7579689518799954
1235.0,2.294,-0.7355194038358904
1318.0,2.2938,-0.6924419752385427
1433.0,2.2944,-0.6246915401776029
1444.0,2.2944,-0.6187303005447145
1546.0,2.2938,-0.5577936521685514
1663.0,2.2938,-0.486446009403281
1677.0,2.2938,-0.4785107734901846
1935.0,2.295,-0.3385325400400096
1951.0,2.295,-0.3312473845634063
2030.0,2.2942,-0.2961006848156546
2623.0,2.2977,-0.1126572168645525
2778.0,2.2966,-0.0864348746711656
2876.0,2.2965,-0.0726583201787601
2883.0,2.2965,-0.0717546300383759
2885.0,2.2965,-0.0715021430755629
2983.0,2.2971,-0.059784797874286
3139.0,2.2975,-0.0448554785082032
