trade_sequence,price,entropy
54.0,2.2908,-0.0100728105555543
67.0,2.2909,-0.0154156524266482
75.0,2.291,-0.0192804952942982
85.0,2.291,-0.0245994091671276
97.0,2.2911,-0.0318944581623331
104.0,2.2911,-0.0365063187683017
119.0,2.2912,-0.0474860077156014
126.0,2.2913,-0.0531290322960033
136.0,2.2914,-0.0616405066090683
142.0,2.2915,-0.0670728173998444
153.0,2.2915,-0.0773149935363249
175.0,2.2915,-0.0996990238198584
182.0,2.2916,-0.1074776518878229
196.0,2.2917,-0.123631907927568
209.0,2.2918,-0.1394196424167734
223.0,2.2919,-0.1571316665512104
239.0,2.292,-0.1783663635954629
253.0,2.2921,-0.1977397634802006
262.0,2.2922,-0.2105892751467338
266.0,2.2923,-0.2164932905112662
286.0,2.2924,-0.2459484738474181
316.0,2.2925,-0.2918308144196956
324.0,2.2926,-0.3045171064429171
328.0,2.2926,-0.310853030650259
341.0,2.2927,-0.3314999677772572
355.0,2.2928,-0.3540425195302903
372.0,2.2929,-0.3816569420328674
386.0,2.293,-0.4044539391981185
410.0,2.2931,-0.4435055416575359
416.0,2.2932,-0.4534245548250957
428.0,2.2933,-0.4729498964223328
439.0,2.2934,-0.4907697964035729
445.0,2.2935,-0.5004890633165054
477.0,2.2933,-0.5509858688101099
496.0,2.2934,-0.5797911651598859
503.0,2.2935,-0.5905201606704085
513.0,2.2936,-0.6060635543952244
574.0,2.2932,-0.6915456783624219
580.0,2.2933,-0.699189052359695
589.0,2.2934,-0.7109747684553664
598.0,2.2935,-0.7225020293361674
603.0,2.2935,-0.7288627962272614
632.0,2.2934,-0.7649226888041927
642.0,2.2935,-0.7744950021858567
674.0,2.2934,-0.809813527135958
687.0,2.2934,-0.8215963742962139
697.0,2.2935,-0.8302850979784715
707.0,2.2936,-0.8392662289356773
718.0,2.2937,-0.8505350444558417
722.0,2.2937,-0.8519086397452682
738.0,2.2938,-0.8662815694809026
741.0,2.2938,-0.867047114848231
758.0,2.2939,-0.8795574646783337
790.0,2.2938,-0.8990972511197497
794.0,2.2939,-0.9012999055578318
801.0,2.2939,-0.9098278442903368
819.0,2.294,-0.913906902671529
839.0,2.2941,-0.9223523353731552
848.0,2.2941,-0.9257217436166576
855.0,2.2942,-0.9280696876321318
869.0,2.2943,-0.9323104370969209
885.0,2.2944,-0.9373396161673984
902.0,2.2945,-0.9397860474084468
916.0,2.2946,-0.9418405619551126
923.0,2.2947,-0.9425459751969848
932.0,2.2948,-0.9433041439900322
947.0,2.2949,-0.9440644075344272
960.0,2.295,-0.9445861104255716
976.0,2.295,-0.9435538269380542
995.0,2.2951,-0.9417259289113948
1006.0,2.2952,-0.940247826323924
1094.0,2.2946,-0.9203150187533228
1102.0,2.2947,-0.9173183551958036
1119.0,2.2948,-0.9123179515030352
1207.0,2.2942,-0.8715127133340477
1300.0,2.2935,-0.8192778407000628
1305.0,2.2936,-0.8158048349489324
1308.0,2.2937,-0.813825925650593
1312.0,2.2938,-0.8114373059141411
1320.0,2.2939,-0.805981453221954
1323.0,2.294,-0.8032925857365184
1326.0,2.2941,-0.8011300795741675
1332.0,2.2942,-0.7972473104564176
1335.0,2.2942,-0.7954848428996383
1342.0,2.2944,-0.7900099029599985
1347.0,2.2945,-0.7864880580997206
1355.0,2.2946,-0.7809520422533163
1360.0,2.2947,-0.7783730446622986
1363.0,2.2948,-0.77613002171562
1398.0,2.2948,-0.7516275227582213
1550.0,2.2939,-0.6467546525155663
1577.0,2.2938,-0.6279669556033353
1588.0,2.2939,-0.6194213241259836
1596.0,2.294,-0.613588031988287
1604.0,2.2941,-0.6077747172875841
1612.0,2.2942,-0.6026791768977268
1659.0,2.2939,-0.5699871302503408
1666.0,2.2939,-0.5652315653779133
1679.0,2.2939,-0.5563405233643277
1689.0,2.2939,-0.5496073862610329
1700.0,2.294,-0.5419247852541523
1712.0,2.2941,-0.5336955308325941
1715.0,2.2941,-0.5316957581943603
1727.0,2.2942,-0.5236516092558062
1746.0,2.2943,-0.5108636237189152
1756.0,2.2944,-0.5041706413962821
1765.0,2.2945,-0.498213121076648
1775.0,2.2946,-0.4916084074269172
1783.0,2.2947,-0.4865511022438062
1848.0,2.2944,-0.4469745376796638
