trade_sequence,price,entropy
18.0,2.2909,-0.0010618622602191
32.0,2.2908,-0.0031322175069029
41.0,2.2907,-0.0050242144812201
82.0,2.2909,-0.0196155193066359
101.0,2.291,-0.0295119733805138
151.0,2.2914,-0.0645705073191517
169.0,2.2914,-0.0799462694207618
326.0,2.2925,-0.2637043055286049
446.0,2.2934,-0.4306021144371196
462.0,2.2933,-0.4524251177718041
471.0,2.2932,-0.463999367704809
528.0,2.2935,-0.538537660476282
537.0,2.2934,-0.549435031050758
546.0,2.2933,-0.5599332047837448
553.0,2.2932,-0.5681857946665829
566.0,2.2931,-0.5837255616934183
600.0,2.2934,-0.6215171201014762
604.0,2.2934,-0.6264695756259944
615.0,2.2933,-0.6379413253558701
646.0,2.2934,-0.6679291569920117
659.0,2.2933,-0.6804729364521189
683.0,2.2933,-0.7021806852066219
720.0,2.2936,-0.7299209578362084
739.0,2.2937,-0.7437199490834525
759.0,2.2938,-0.7548869652561547
770.0,2.2937,-0.7605760988719537
798.0,2.2938,-0.7752637856089558
846.0,2.294,-0.794617055348822
974.0,2.2949,-0.8099487766559058
1014.0,2.2951,-0.8054818197715822
1023.0,2.295,-0.8047241574975553
1030.0,2.2949,-0.8043315964870117
1052.0,2.2948,-0.7993759024606166
1064.0,2.2947,-0.796847665618688
1078.0,2.2946,-0.7966312153606374
1091.0,2.2945,-0.7903013311081731
1120.0,2.2947,-0.7823375368624181
1138.0,2.2946,-0.7764463261911076
1151.0,2.2945,-0.7706158133562764
1159.0,2.2944,-0.7671349996828332
1169.0,2.2943,-0.7634067715884133
1180.0,2.2942,-0.7590127712718497
1191.0,2.2941,-0.7557355413892517
1213.0,2.2941,-0.7446554188762586
1223.0,2.294,-0.7405038737983504
1243.0,2.2939,-0.7329590476481171
1251.0,2.2938,-0.7270389872969205
1260.0,2.2937,-0.7226666627036775
1270.0,2.2936,-0.7177527224550946
1280.0,2.2935,-0.7133879563005843
1291.0,2.2934,-0.7091531136066319
1333.0,2.2941,-0.6829697509667251
1385.0,2.2947,-0.6521411738264773
1411.0,2.2947,-0.6372322381459328
1418.0,2.2946,-0.6328509953432606
1425.0,2.2945,-0.6288581511932122
1430.0,2.2944,-0.6260499159523323
1453.0,2.2943,-0.6123148875282047
1467.0,2.2942,-0.6054624810538265
1496.0,2.2941,-0.5886446743072414
1514.0,2.294,-0.5764074082701117
1527.0,2.2939,-0.568530681338625
1537.0,2.2938,-0.5622220285937334
1567.0,2.2938,-0.5442387987096184
1572.0,2.2937,-0.5413752665336041
1613.0,2.2941,-0.5163451603322559
1624.0,2.294,-0.5097524752481521
1631.0,2.2939,-0.5052146622152935
1640.0,2.2938,-0.5000314903296673
1661.0,2.2938,-0.4876126752737972
1674.0,2.2938,-0.4804958522311307
1687.0,2.2938,-0.4724345076985928
1713.0,2.294,-0.4571078800266648
1786.0,2.2946,-0.4161998400788437
1808.0,2.2945,-0.4037026394420938
1822.0,2.2944,-0.3963797722582211
1841.0,2.2943,-0.3865189498411487
1914.0,2.295,-0.3486598442773979
1920.0,2.295,-0.3457357500234614
