trade_id_open,trade_id_close,timestamp_open,timestamp_close,inner_length,total_length,binary_code_str,binary_code_int
1601281860.0,1601281863.0,2026-04-01 18:17:08.876000,2026-04-01 18:17:11.618000,2,4,0000 0001 0100 0000,320
1601281865.0,1601281868.0,2026-04-01 18:17:11.618000,2026-04-01 18:17:11.619000,2,4,0000 0010 1000 0000,640
1601281870.0,1601281873.0,2026-04-01 18:17:11.619000,2026-04-01 18:17:12.256000,2,4,0000 0001 0100 0000,320
1601281873.0,1601281876.0,2026-04-01 18:17:12.256000,2026-04-01 18:17:16.251000,2,4,0000 0010 1000 0000,640
1601281879.0,1601281882.0,2026-04-01 18:17:16.365000,2026-04-01 18:17:17.246000,2,4,0000 0001 0100 0000,320
1601281882.0,1601281885.0,2026-04-01 18:17:17.246000,2026-04-01 18:17:17.704000,2,4,0000 0010 1000 0000,640
1601281893.0,1601281896.0,2026-04-01 18:17:17.705000,2026-04-01 18:17:17.707000,2,4,0000 0010 1000 0000,640
1601281902.0,1601281905.0,2026-04-01 18:17:17.707000,2026-04-01 18:17:17.707000,2,4,0000 0010 1000 0000,640
1601281912.0,1601281915.0,2026-04-01 18:17:17.707000,2026-04-01 18:17:17.868000,2,4,0000 0010 1000 0000,640
1601281924.0,1601281927.0,2026-04-01 18:17:17.868000,2026-04-01 18:17:17.922000,2,4,0000 0010 1000 0000,640
1601281937.0,1601281941.0,2026-04-01 18:17:21.633000,2026-04-01 18:17:23.083000,3,5,0000 0010 1001 0100 0000,10560
1601281951.0,1601281956.0,2026-04-01 18:17:23.083000,2026-04-01 18:17:26.692000,4,6,0000 0001 0100 0010 1000 0000,82560
1601281956.0,1601281959.0,2026-04-01 18:17:26.692000,2026-04-01 18:17:27.474000,2,4,0000 0001 0100 0000,320
1601281964.0,1601281967.0,2026-04-01 18:17:27.474000,2026-04-01 18:17:27.918000,2,4,0000 0010 1000 0000,640
1601281983.0,1601281988.0,2026-04-01 18:17:29.572000,2026-04-01 18:17:34.875000,4,6,0000 0010 1000 0001 0100 0000,164160
1601281994.0,1601282000.0,2026-04-01 18:17:38.823000,2026-04-01 18:17:44.518000,5,7,0000 0010 1000 0001 0110 1000 0000,2627200
1601282011.0,1601282014.0,2026-04-01 18:17:47.197000,2026-04-01 18:17:49.505000,2,4,0000 0010 1000 0000,640
1601282014.0,1601282017.0,2026-04-01 18:17:49.505000,2026-04-01 18:17:50.306000,2,4,0000 0001 0100 0000,320
1601282027.0,1601282030.0,2026-04-01 18:17:50.306000,2026-04-01 18:17:50.527000,2,4,0000 0001 0100 0000,320
1601282044.0,1601282047.0,2026-04-01 18:17:50.527000,2026-04-01 18:17:50.694000,2,4,0000 0001 0100 0000,320
1601282058.0,1601282061.0,2026-04-01 18:17:50.694000,2026-04-01 18:17:50.812000,2,4,0000 0001 0100 0000,320
1601282077.0,1601282081.0,2026-04-01 18:17:50.814000,2026-04-01 18:17:56.316000,3,5,0000 0001 0110 1000 0000,5760
1601282093.0,1601282096.0,2026-04-01 18:17:56.568000,2026-04-01 18:17:57.580000,2,4,0000 0010 1000 0000,640
1601282096.0,1601282099.0,2026-04-01 18:17:57.580000,2026-04-01 18:17:58.699000,2,4,0000 0001 0100 0000,320
1601282108.0,1601282111.0,2026-04-01 18:18:00.285000,2026-04-01 18:18:03.700000,2,4,0000 0010 1000 0000,640
1601282120.0,1601282123.0,2026-04-01 18:18:04.103000,2026-04-01 18:18:04.108000,2,4,0000 0010 1000 0000,640
1601282129.0,1601282133.0,2026-04-01 18:18:04.162000,2026-04-01 18:18:06.111000,3,5,0000 0001 0110 1000 0000,5760
1601282143.0,1601282146.0,2026-04-01 18:18:06.112000,2026-04-01 18:18:06.112000,2,4,0000 0010 1000 0000,640
1601282152.0,1601282158.0,2026-04-01 18:18:06.112000,2026-04-01 18:18:10.136000,5,7,0000 0010 1001 0110 1001 0100 0000,2713920
1601282168.0,1601282171.0,2026-04-01 18:18:10.136000,2026-04-01 18:18:10.139000,2,4,0000 0001 0100 0000,320
1601282189.0,1601282192.0,2026-04-01 18:18:11.368000,2026-04-01 18:18:11.968000,2,4,0000 0010 1000 0000,640
1601282199.0,1601282202.0,2026-04-01 18:18:11.968000,2026-04-01 18:18:13.418000,2,4,0000 0010 1000 0000,640
