trade_sequence,price,entropy
1.0,2.291,-1.8795872124865674e-05
19.0,2.2909,-0.0013627864816253
33.0,2.2908,-0.0038666505543277
42.0,2.2907,-0.0061316741231159
83.0,2.2909,-0.0234070382173048
102.0,2.291,-0.0350631584555112
170.0,2.2914,-0.0942447404672448
447.0,2.2934,-0.5035131066928387
463.0,2.2933,-0.528659950096803
472.0,2.2932,-0.543193762208313
529.0,2.2935,-0.6292408386266335
538.0,2.2934,-0.6417382279200923
547.0,2.2933,-0.6543324687973906
554.0,2.2932,-0.6640376577718244
567.0,2.2931,-0.6816248261887611
601.0,2.2934,-0.7260305680386916
605.0,2.2934,-0.7318752754115776
616.0,2.2933,-0.7444556050937561
647.0,2.2934,-0.7806333102487795
660.0,2.2933,-0.7943417431630252
684.0,2.2933,-0.8186180221867938
760.0,2.2938,-0.8812361714567618
771.0,2.2937,-0.8877305147597094
799.0,2.2938,-0.9043838814564452
1015.0,2.2951,-0.939502467011315
1024.0,2.295,-0.937804874970724
1031.0,2.2949,-0.9366729861640872
1039.0,2.2949,-0.9350218340825508
1044.0,2.2949,-0.933903029023446
1053.0,2.2948,-0.9319567265327175
1065.0,2.2947,-0.9327649506019932
1079.0,2.2946,-0.9255498589021386
1092.0,2.2945,-0.9223531405981736
1121.0,2.2947,-0.9102342793675924
1124.0,2.2947,-0.909307021946789
1139.0,2.2946,-0.9035697311056664
1152.0,2.2945,-0.8976477758916251
1160.0,2.2944,-0.8942762416275662
1170.0,2.2943,-0.8898387337296384
1181.0,2.2942,-0.8853725350186612
1184.0,2.2942,-0.8845546543402958
1192.0,2.2941,-0.8796659219401907
1214.0,2.2941,-0.869007519087792
1224.0,2.294,-0.86323272455247
1236.0,2.294,-0.858362421146186
1244.0,2.2939,-0.8518527219581166
1252.0,2.2938,-0.8474232801232264
1261.0,2.2937,-0.8423799217563979
1271.0,2.2936,-0.837301870837683
1281.0,2.2935,-0.830943789452308
1292.0,2.2934,-0.8246440690286604
1386.0,2.2947,-0.759939889992116
1412.0,2.2947,-0.7420421431781326
1419.0,2.2946,-0.7374120783796578
1426.0,2.2945,-0.7327656898998617
1431.0,2.2944,-0.7300644286959546
1434.0,2.2944,-0.7273835377649377
1445.0,2.2944,-0.7196061007439645
1454.0,2.2943,-0.7135732133639866
1468.0,2.2942,-0.7046422255420148
1497.0,2.2941,-0.6835518882085632
1515.0,2.294,-0.6709428184894302
1528.0,2.2939,-0.6619996832823869
1538.0,2.2938,-0.6552020676883884
1547.0,2.2938,-0.6502341820203206
1568.0,2.2938,-0.6340897473158
1573.0,2.2937,-0.6304011996006813
1614.0,2.2941,-0.601008959152801
1625.0,2.294,-0.5933022872193046
1632.0,2.2939,-0.5886407824444542
1641.0,2.2938,-0.5826355523806164
1664.0,2.2938,-0.5676509104136722
1675.0,2.2938,-0.5593808736779123
1787.0,2.2946,-0.4839445807196644
1809.0,2.2945,-0.4702640719838701
1823.0,2.2944,-0.4617366631343003
1842.0,2.2943,-0.450251544761838
1915.0,2.295,-0.4065566321741666
1921.0,2.295,-0.4028831428998551
1942.0,2.295,-0.3910191238440604
1952.0,2.295,-0.3854075158807053
1968.0,2.2949,-0.3768199942796151
1977.0,2.2948,-0.372118296317337
1987.0,2.2947,-0.366928747633041
1997.0,2.2946,-0.361791162602709
2005.0,2.2945,-0.3577680880528472
2017.0,2.2944,-0.351684910610853
2024.0,2.2943,-0.3482317113042399
2028.0,2.2942,-0.3463268125902567
2224.0,2.2957,-0.2555694922619324
2443.0,2.2973,-0.1783854357938692
2564.0,2.2978,-0.1452203087905688
2600.0,2.2979,-0.1365208210882508
2606.0,2.2978,-0.1351835955271018
2614.0,2.2977,-0.1334297414561494
2629.0,2.2977,-0.1300205792257941
2656.0,2.2976,-0.1241566399836503
2675.0,2.2975,-0.1201880973661058
2682.0,2.2974,-0.1187901347242817
2694.0,2.2973,-0.1163914392853531
2702.0,2.2972,-0.1148325185669389
2711.0,2.2971,-0.1130949142193169
2717.0,2.297,-0.1119655535610418
2725.0,2.2969,-0.1104600430402169
2737.0,2.2968,-0.1082378551402308
2752.0,2.2967,-0.105448212684632
2767.0,2.2966,-0.102751565721199
2783.0,2.2966,-0.0999051241385245
2796.0,2.2965,-0.0976807742536178
2809.0,2.2964,-0.0955067230278811
2818.0,2.2963,-0.0940281321526846
2825.0,2.2962,-0.0929081178872437
2877.0,2.2965,-0.0845983901469919
2886.0,2.2965,-0.0832361445471266
2967.0,2.2971,-0.0717646479033097
2977.0,2.2971,-0.0704819520678902
2984.0,2.2971,-0.069587168093836
2995.0,2.297,-0.0682412819217692
3005.0,2.2969,-0.0670429189995917
3014.0,2.2968,-0.065983629100659
3128.0,2.2975,-0.0533830146333396
3137.0,2.2975,-0.0525096083301615
3140.0,2.2975,-0.052226313706203
3223.0,2.2981,-0.0446444514971411
3267.0,2.2981,-0.0411212423385407
3390.0,2.2986,-0.0325468300731491
3414.0,2.2985,-0.0311109919382514
3419.0,2.2984,-0.0308308121419958
3446.0,2.2983,-0.0293022383574248
3469.0,2.2983,-0.0280444133859924
3523.0,2.2985,-0.0252697275897771
