trade_sequence,price,entropy
53.0,2.2908,-0.0110803975092358
66.0,2.2909,-0.0170837644352229
74.0,2.291,-0.0214367351386439
84.0,2.291,-0.0274408592249285
96.0,2.2911,-0.035684217836626
103.0,2.2911,-0.0409079177066803
118.0,2.2912,-0.0533451983899762
125.0,2.2913,-0.0597407985778168
135.0,2.2914,-0.0693954937680257
141.0,2.2915,-0.0755584377754928
174.0,2.2915,-0.1126321523983052
181.0,2.2916,-0.1214836375422225
195.0,2.2917,-0.1398126094427615
208.0,2.2918,-0.1578185885335024
222.0,2.2919,-0.1779945314384851
238.0,2.292,-0.2021870980024731
252.0,2.2921,-0.2242567378589058
261.0,2.2922,-0.2389121667318428
265.0,2.2923,-0.2456229607993967
285.0,2.2924,-0.2792074257260534
315.0,2.2925,-0.3315504552664117
323.0,2.2926,-0.3460105443415686
340.0,2.2927,-0.3769195260326403
354.0,2.2928,-0.4025564066871387
371.0,2.2929,-0.4341954143367708
385.0,2.293,-0.4605202405799329
409.0,2.2931,-0.5047528600471983
415.0,2.2932,-0.5160269008644784
427.0,2.2933,-0.5383660672046258
438.0,2.2934,-0.5587266493597561
444.0,2.2935,-0.5698668448334421
476.0,2.2933,-0.6271632928071722
495.0,2.2934,-0.6605625236916006
502.0,2.2935,-0.6728259465765685
512.0,2.2936,-0.6900678257540487
573.0,2.2932,-0.788603874279168
579.0,2.2933,-0.7976637225551867
588.0,2.2934,-0.8107498461087892
597.0,2.2935,-0.8239411834670287
602.0,2.2935,-0.832393240936448
631.0,2.2934,-0.8723261335441905
641.0,2.2935,-0.8836495911668734
673.0,2.2934,-0.9231891398213146
686.0,2.2934,-0.9377339406344386
696.0,2.2935,-0.9474306983712386
706.0,2.2936,-0.9578329836644168
717.0,2.2937,-0.9686509654828152
737.0,2.2938,-0.9879962067308922
757.0,2.2939,-1.0036411184351133
789.0,2.2938,-1.026576424237211
793.0,2.2939,-1.0290959310208223
800.0,2.2939,-1.0337690509391853
818.0,2.294,-1.0435900574312316
838.0,2.2941,-1.0533246032380397
854.0,2.2942,-1.0599082338993315
868.0,2.2943,-1.0648055433034973
884.0,2.2944,-1.0695249551014894
901.0,2.2945,-1.0734881760092785
915.0,2.2946,-1.0758259386283395
922.0,2.2947,-1.0766453013952404
931.0,2.2948,-1.077475583795947
946.0,2.2949,-1.0782750518302056
959.0,2.295,-1.0784334978259935
994.0,2.2951,-1.0759341540459162
1005.0,2.2952,-1.0742827393688938
1037.0,2.295,-1.0684960077458026
1040.0,2.295,-1.0677913035751434
1093.0,2.2946,-1.0530321921741803
1101.0,2.2947,-1.0494520046767255
1118.0,2.2948,-1.0447407988168664
1122.0,2.2948,-1.039268736592171
1182.0,2.2943,-1.0106579075783286
1206.0,2.2942,-0.9964057126462836
1234.0,2.2941,-0.979756073240449
1299.0,2.2935,-0.9370544572841
1304.0,2.2936,-0.9329453293337204
1307.0,2.2937,-0.9305134035890168
1311.0,2.2938,-0.9307835768246938
1317.0,2.2939,-0.9238137437206386
1322.0,2.294,-0.9191640580141092
1325.0,2.2941,-0.9161558538213134
1331.0,2.2942,-0.9116683253034844
1340.0,2.2943,-0.9045681741004268
1346.0,2.2945,-0.8994027803366772
1354.0,2.2946,-0.8930745609894064
1359.0,2.2947,-0.8899839893836303
1362.0,2.2948,-0.8874136665205709
1397.0,2.2948,-0.8594187855297115
1432.0,2.2945,-0.8330435431625385
1443.0,2.2945,-0.8236673820018302
1545.0,2.2939,-0.7427713717355502
1549.0,2.2939,-0.7409359804256974
1576.0,2.2938,-0.7177231186859956
1587.0,2.2939,-0.7086474562840113
1595.0,2.294,-0.7019619623983819
1603.0,2.2941,-0.6953050038718538
1611.0,2.2942,-0.6904219411424967
1658.0,2.2939,-0.6521271664102394
1665.0,2.2939,-0.6467036217001217
1676.0,2.2939,-0.6382034967937446
1699.0,2.294,-0.6206136146065897
1711.0,2.2941,-0.6106253012006826
1726.0,2.2942,-0.5993251766758887
1745.0,2.2943,-0.5845095406431282
1755.0,2.2944,-0.5768513104160473
1764.0,2.2945,-0.5699904065535947
1774.0,2.2946,-0.5624706570531173
1782.0,2.2947,-0.5564238289465433
1847.0,2.2944,-0.5108412343733528
1853.0,2.2945,-0.507022118984735
1860.0,2.2946,-0.5015088077279749
1868.0,2.2947,-0.4958528040017669
1876.0,2.2948,-0.4902502663692317
1886.0,2.2949,-0.4833615423062853
1894.0,2.295,-0.4780928881839115
1908.0,2.2951,-0.4684359042626388
1916.0,2.2951,-0.4632525797177133
1934.0,2.2951,-0.451986720743175
1950.0,2.2951,-0.4415854647862066
2029.0,2.2943,-0.3950242116200192
2040.0,2.2944,-0.3885969087477297
2058.0,2.2945,-0.3781355405141307
2068.0,2.2946,-0.372402340831434
2072.0,2.2947,-0.3700391984466059
2085.0,2.2948,-0.3627707794175825
2096.0,2.2949,-0.3566769960913242
2105.0,2.295,-0.3517273556789707
2111.0,2.2951,-0.3484118579853907
2118.0,2.2952,-0.3445970156041693
2129.0,2.2953,-0.3388689718542109
2156.0,2.2954,-0.3249066146510849
2162.0,2.2955,-0.3217926011855618
2180.0,2.2956,-0.3128638769680431
2193.0,2.2957,-0.3064942040070226
2213.0,2.2958,-0.2969598180608718
2226.0,2.2958,-0.2910001938258205
2246.0,2.2959,-0.28183768797198
2254.0,2.296,-0.2781840365350231
2277.0,2.2961,-0.2681064272970935
2289.0,2.2962,-0.2629193606533863
2306.0,2.2963,-0.2557668702039424
2313.0,2.2964,-0.2528040481002356
2319.0,2.2965,-0.2502728035859932
2327.0,2.2966,-0.2469655543436784
2341.0,2.2967,-0.2413338063072966
2357.0,2.2968,-0.2350570327476696
2377.0,2.2969,-0.2274291441374623
2382.0,2.297,-0.2254850629173982
2399.0,2.2971,-0.2192031134963004
2414.0,2.2972,-0.2137814689516668
2423.0,2.2973,-0.2105452104543668
2431.0,2.2974,-0.2076946115440154
2445.0,2.2974,-0.2030260718694643
2458.0,2.2975,-0.1985329708463936
2474.0,2.2976,-0.1932124046315458
2483.0,2.2977,-0.1902500139384956
2545.0,2.2978,-0.1713670229732193
2557.0,2.2979,-0.1678164082847784
2565.0,2.2979,-0.1655530303586956
2571.0,2.298,-0.1638047396384838
2622.0,2.2978,-0.1502902729873523
2777.0,2.2967,-0.115309747189461
2847.0,2.2963,-0.102045716160919
2857.0,2.2964,-0.1002113490469732
2865.0,2.2965,-0.0987422591522703
2869.0,2.2966,-0.097996879241971
2878.0,2.2966,-0.0964451193080664
2888.0,2.2966,-0.094724024568041
2917.0,2.2967,-0.0898831934131399
2925.0,2.2968,-0.0885604465430964
2937.0,2.2969,-0.0866298475070854
2944.0,2.297,-0.0855063834716427
2954.0,2.2971,-0.0839400338282591
2963.0,2.2972,-0.0825619836655006
2970.0,2.2972,-0.0815144802281377
2982.0,2.2972,-0.0797634356692261
3031.0,2.2969,-0.0730605791122676
3038.0,2.297,-0.0721018242681117
3044.0,2.2971,-0.0712846758757024
3062.0,2.2972,-0.0689466691029082
3070.0,2.2973,-0.0679138242913014
3093.0,2.2974,-0.0650786179210128
3111.0,2.2975,-0.0629320183704759
3120.0,2.2976,-0.0618697528323151
3129.0,2.2976,-0.0608520609058556
3138.0,2.2976,-0.0598555197850147
